"\"浙AE529G\"",2,18,1519635509140
"\"浙A3NZXE\"",2,5,1519641647140
"\"浙A3NZXE\"",2,8,1519637872270
"\"浙AFCEJZ\"",2,14,1519644716140
"\"浙A95Z9C\"",2,20,1519637279560
"\"浙A7HHP1\"",2,10,1519641585340
"\"浙A1XPHL\"",2,18,1519636115140
"\"浙AHTSRZ\"",2,19,1519644624340
"\"浙APYELC\"",2,6,1519639234120
"\"浙AL1J82\"",2,9,1519647785140
"\"浙ARS95W\"",2,1,1519640726440
"\"浙AQNALN\"",2,12,1519647754780
"\"浙A6GAMY\"",2,6,1519639123750
"\"浙AL1J82\"",2,10,1519647724120
"\"浙AGQ97T\"",2,20,1519639528360
"\"浙AQ4EE5\"",2,3,1519641645160
"\"浙A3KBY9\"",2,19,1519641616240
"\"浙AKXENG\"",2,15,1519644669160
"\"浙AHBERG\"",2,18,1519644670240
"\"浙A55DCG\"",2,4,1519647693160
"\"浙ABD27Z\"",2,9,1519635816040
"\"浙AHTSRZ\"",2,4,1519641954040
"\"浙A972PY\"",2,8,1519636088500
"\"浙AQNALN\"",2,6,1519645023040
"\"浙A3KBY9\"",2,12,1519639529530
"\"浙A6GAMY\"",2,15,1519641889240
"\"浙AJE9LK\"",2,1,1519638470620
"\"浙A95Z9C\"",2,11,1519644928240
"\"浙AQN6U4\"",2,20,1519637260360
"\"浙ANT99L\"",2,18,1519648092040
"\"浙ARE6BY\"",2,20,1519638181660
"\"浙ARS95W\"",2,18,1519648060180
"\"浙AJCX8B\"",2,4,1519639245310
"\"浙A6GAMY\"",2,6,1519648028020
"\"浙AHBERG\"",2,16,1519639679560
"\"浙ALL7JH\"",2,20,1519641947560
"\"浙A3KBY9\"",2,16,1519641921640
"\"浙A7HLHA\"",2,15,1519644971560
"\"浙A55DCG\"",2,3,1519644975640
"\"浙A1XPHL\"",2,16,1519647995560
"\"浙ADHB6P\"",2,9,1519635355540
"\"浙ARWWMW\"",2,18,1519642260940
"\"浙ATG8P5\"",2,11,1519638332620
"\"浙A55DCG\"",2,5,1519645329940
"\"浙AMYMAE\"",2,16,1519635808840
"\"浙AHS32L\"",2,14,1519642193140
"\"浙ADRES6\"",2,6,1519636388650
"\"浙ALQWWL\"",2,3,1519645232140
"\"浙AGQ97T\"",2,16,1519640112640
"\"浙ABD1HH\"",2,1,1519648398940
"\"浙AMYMAE\"",2,19,1519638272830
"\"浙AHAU5Z\"",2,19,1519648365580
"\"浙ARS95W\"",2,8,1519638560680
"\"浙ATG8P5\"",2,8,1519648331920
"\"浙ABD27Z\"",2,7,1519639830760
"\"浙A4GNXM\"",2,7,1519642249960
"\"浙A9NW3T\"",2,8,1519642227040
"\"浙A9NW3T\"",2,2,1519645273960
"\"浙AQN6U4\"",2,11,1519645281040
"\"浙ALQWWL\"",2,16,1519648297960
"\"浙AQ4EE5\"",2,8,1519636399150
"\"浙AR2NYX\"",2,9,1519642567840
"\"浙ADBHAT\"",2,9,1519638608830
"\"浙ANEHNH\"",2,16,1519645636840
"\"浙A95Z9C\"",2,16,1519637615500
"\"浙AP7RPP\"",2,7,1519642497040
"\"浙A1XPHL\"",2,4,1519636510210
"\"浙AHTSRZ\"",2,11,1519645536040
"\"浙A3KBY9\"",2,9,1519637604250
"\"浙ADRES6\"",2,13,1519648705840
"\"浙ARAFXB\"",2,4,1519640971960
"\"浙AJE9LK\"",2,1,1519648670980
"\"浙A14J75\"",2,7,1519638681640
"\"浙AQAGXK\"",2,18,1519648635820
"\"浙AAS5RN\"",2,13,1519639951720
"\"浙AUPDKC\"",2,3,1519642552360
"\"浙ALL7JH\"",2,8,1519642532440
"\"浙A95Z9C\"",2,15,1519645576360
"\"浙A9NW3T\"",2,11,1519645586440
"\"浙AUPDKC\"",2,14,1519648600360
"\"浙ALQWWL\"",2,2,1519636644670
"\"浙AD12UG\"",2,12,1519642874740
"\"浙AHS32L\"",2,19,1519636363360
"\"浙AJCX8B\"",2,15,1519645943740
"\"浙AJS1XQ\"",2,3,1519636050760
"\"浙A7HLHA\"",2,5,1519642800940
"\"浙AG9X8D\"",2,16,1519636631770
"\"浙ABD1HH\"",2,4,1519645839940
"\"浙AQN6U4\"",2,2,1519637695420
"\"浙ADRES6\"",2,11,1519649012740
"\"浙A6GAMY\"",2,2,1519640394640
"\"浙AJ9H9Y\"",2,2,1519648976380
"\"浙ABD27Z\"",2,9,1519641188680
"\"浙A6GAMY\"",2,9,1519648939720
"\"浙A1RN1L\"",2,20,1519640102920
"\"浙ACJR6X\"",2,16,1519642854760
"\"浙A7HLHA\"",2,13,1519642837840
"\"浙AQAGXK\"",2,9,1519645878760
"\"浙AJE9LK\"",2,17,1519645891840
"\"浙AQAGXK\"",2,3,1519648902760
"\"浙AZ38G1\"",2,17,1519636828810
"\"浙AR2NYX\"",2,17,1519643181640
"\"浙AFCEJZ\"",2,20,1519636485520
"\"浙AHAU5Z\"",2,6,1519646250640
"\"浙ATG8P5\"",2,12,1519636171720
"\"浙A4GNXM\"",2,11,1519643104840
"\"浙ARWWMW\"",2,11,1519639744360
"\"浙ABD1HH\"",2,11,1519646143840
"\"浙AG9X8D\"",2,1,1519637786590
"\"浙AJCX8B\"",2,7,1519649319640
"\"浙ADRES6\"",2,17,1519641125410
"\"浙A6GAMY\"",2,9,1519649281780
"\"浙AD12UG\"",2,17,1519641280300
"\"浙AQN6U4\"",2,10,1519649243620
"\"浙A7HLHA\"",2,20,1519640254120
"\"浙AEC3N3\"",2,6,1519643157160
"\"浙AL1J82\"",2,4,1519643143240
"\"浙A7HLHA\"",2,3,1519646181160
"\"浙A7HLHA\"",2,17,1519646197240
"\"浙ALQWWL\"",2,13,1519649205160
"\"浙ATG8P5\"",2,7,1519637012950
"\"浙AUPDKC\"",2,19,1519643488540
"\"浙AR7NBP\"",2,15,1519636760380
"\"浙AD12UG\"",2,6,1519646557540
"\"浙AQ4EE5\"",2,6,1519637981980
"\"浙ANT99L\"",2,5,1519643408740
"\"浙AFCEJZ\"",2,3,1519636957960
"\"浙AEC3N3\"",2,20,1519646447740
"\"浙A1RN1L\"",2,16,1519637593000
"\"浙AYBMH3\"",2,15,1519649626540
"\"浙A41GTQ\"",2,11,1519640547340
"\"浙AFCEJZ\"",2,1,1519649587180
"\"浙AR2NYX\"",2,12,1519639822720
"\"浙AJ9H9Y\"",2,11,1519649547520
"\"浙ABD1HH\"",2,14,1519641372610
"\"浙AD12UG\"",2,19,1519643459560
"\"浙AR7NBP\"",2,14,1519643448640
"\"浙AKXENG\"",2,5,1519646483560
"\"浙A1XPHL\"",2,4,1519646502640
"\"浙AHM5HW\"",2,9,1519649507560
"\"浙AB1NKK\"",2,20,1519635813640
"\"浙AYBMH3\"",2,16,1519643795440
"\"浙ABD27Z\"",2,1,1519636913080
"\"浙A3KBY9\"",2,1,1519646864440
"\"浙AJE9LK\"",2,8,1519638073600
"\"浙AZ38G1\"",2,19,1519643712640
"\"浙ALL7JH\"",2,20,1519639020340
"\"浙A3KBY9\"",2,18,1519646751640
"\"浙ARAFXB\"",2,2,1519637653480
"\"浙AJNPA7\"",2,9,1519649933440
"\"浙AZ38G1\"",2,14,1519640638960
"\"浙AB1NKK\"",2,3,1519649892580
"\"浙A1RN1L\"",2,5,1519639944280
"\"浙AQN6U4\"",2,16,1519649851420
"\"浙ANT99L\"",2,13,1519640647240
"\"浙ARE6BY\"",2,1,1519643761960
"\"浙A6GAMY\"",2,13,1519643754040
"\"浙ARE6BY\"",2,12,1519646785960
"\"浙A3NZXE\"",2,17,1519646808040
"\"浙ANA1WQ\"",2,1,1519649809960
"\"浙A9NW3T\"",2,17,1519637381230
"\"浙ADHB6P\"",2,15,1519644102340
"\"浙ALL7JH\"",2,14,1519635385480
"\"浙AHM5HW\"",2,8,1519647171340
"\"浙AJE9LK\"",2,17,1519635780850
"\"浙AFCEJZ\"",2,15,1519644016540
"\"浙A972PY\"",2,7,1519637026840
"\"浙AL6FXX\"",2,16,1519647055540
"\"浙AEC3N3\"",2,9,1519639844920
"\"浙ARE6BY\"",2,13,1519650240340
"\"浙AZ2ZQG\"",2,13,1519640700040
"\"浙AJ9H9Y\"",2,12,1519650197980
"\"浙ARS95W\"",2,8,1519639225960
"\"浙ANEHNH\"",2,12,1519650155320
"\"浙AD12UG\"",2,6,1519640949640
"\"浙AMYMAE\"",2,18,1519644064360
"\"浙AQAGXK\"",2,18,1519644059440
"\"浙AHS32L\"",2,19,1519647088360
"\"浙AZ38G1\"",2,5,1519647113440
"\"浙A3ZMU3\"",2,6,1519650112360
"\"浙AQN6U4\"",2,19,1519637565370
"\"浙ALQWWL\"",2,11,1519644409240
"\"浙AJE9LK\"",2,7,1519635476200
"\"浙AJ9H9Y\"",2,19,1519647478240
"\"浙A55DCG\"",2,1,1519635932800
"\"浙AHS32L\"",2,11,1519644320440
"\"浙AKXENG\"",2,5,1519637148400
"\"浙A1XPHL\"",2,14,1519647359440
"\"浙ATG8P5\"",2,14,1519639936540
"\"浙ALQWWL\"",2,19,1519650547240
"\"浙A3NZXE\"",2,9,1519640761120
"\"浙A55DCG\"",2,2,1519650503380
"\"浙A3NZXE\"",2,7,1519639377160
"\"浙AZ2ZQG\"",2,12,1519650459220
"\"浙A41GTQ\"",2,4,1519641252040
"\"浙AKXENG\"",2,6,1519644366760
"\"浙AR7NBP\"",2,11,1519644364840
"\"浙A3NZXE\"",2,19,1519647390760
"\"浙ADRES6\"",2,4,1519647418840
"\"浙AHS32L\"",2,20,1519650414760
